UnitID,Institution Name,Students from the part-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D),Students from the part-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Students from the part-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Students from the part-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Students from the part-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Students from the part-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Students from the part-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Students from the part-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,,,,,,,,,
210669,Allegheny College,1,1,1,1,2,1,2,0,
210775,Alvernia University,0,0,0,0,0,0,0,0,
210809,American College of Financial Services,,,,,,,,,
211088,Arcadia University,1,3,6,4,1,0,0,0,
210492,Bryn Athyn College of the New Church,,,0,0,0,0,1,0,
211273,Bryn Mawr College,,,,,,,,,
211291,Bucknell University,,,,,,,,,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
211352,Cabrini University,2,2,0,0,,,,,
215114,Cairn University-Langhorne,0,0,2,1,0,2,1,3,
211431,Carlow University,0,0,1,0,2,0,2,1,
211440,Carnegie Mellon University,0,0,,,0,0,0,0,
211468,Cedar Crest College,,0,0,0,0,0,0,1,
211556,Chatham University,0,0,0,0,0,0,,,
211583,Chestnut Hill College,2,1,2,2,4,0,1,1,
211024,Clarks Summit University,10,5,4,2,7,1,3,4,
211893,Curtis Institute of Music,,,,,,,,,
211981,Delaware Valley University,,,,,,,,,
210739,DeSales University,2,5,0,0,0,0,,1,
212009,Dickinson College,0,0,0,0,0,,0,0,
212054,Drexel University,7,4,2,7,1,9,65,57,
212106,Duquesne University,4,4,8,16,8,9,4,11,
212133,Eastern University,6,5,1,1,0,0,0,1,
212197,Elizabethtown College,18,1,1,0,,,,,
212443,Evangelical Theological Seminary,,,,,,,,,
212577,Franklin and Marshall College,,,,,1,0,,,
212601,Gannon University,1,3,0,1,0,3,2,4,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,1,0,0,0,1,2,0,1,
