UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,69353651,69325252,67742285,62894902,65568547,64423254,57785112,51253102,
210669,Allegheny College,230452902,220835715,204512720,181636170,183134080,184693333,162801245,146516149,
210775,Alvernia University,26524784,26943683,24737774,21839253,22407663,22835679,20572623,19663518,
210809,American College of Financial Services,60893467,68079599,63416853,58847567,52954618,49808426,41310907,34956582,
211088,Arcadia University,70402000,71792000,69496000,64189000,67727000,68878000,59226000,52942000,
210492,Bryn Athyn College of the New Church,58273937,58772124,58756970,55896179,60025025,60448065,54504462,59337046,
211273,Bryn Mawr College,888153000,897236000,852743000,803898000,867728000,839226000,710168000,641173000,
211291,Bucknell University,866835000,851309000,800765000,722425000,,750913000,666563000,599216000,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
211352,Cabrini University,42166174,45558371,46450642,43895124,43708900,44141538,38860713,12730912,
215114,Cairn University-Langhorne,11207000,11407792,10950234,10143093,11196341,11303788,10083307,9629702,
211431,Carlow University,32440448,31308302,28450645,25749299,23463263,21167822,18289683,16623477,
211440,Carnegie Mellon University,1983601568,1872190873,1718582585,1288196389,1318050068,1235967714,1066149108,979229547,
211468,Cedar Crest College,32637991,30623441,31961793,27765254,26687946,25979759,20960619,18940331,
211556,Chatham University,81633866,80481915,77680284,74972477,83921042,84726717,63349605,58867206,
211583,Chestnut Hill College,9471124,9363719,9429275,9119039,9284436,8692133,7348337,6025158,
211024,Clarks Summit University,2146096,2140396,2131096,2158937,2109237,2100737,2089537,2079937,
211893,Curtis Institute of Music,171072319,169660258,150009611,132048873,128727907,122669065,108797008,90928866,
211981,Delaware Valley University,34596345,33578157,32393869,29426730,30634431,32764423,30679243,31770724,
210739,DeSales University,91840777,87843074,80096104,69277908,69220981,66731840,55213865,48093768,
212009,Dickinson College,455442348,437527413,412810071,381020196,415078785,396265465,356738667,325683702,
212054,Drexel University,813685000,779762000,707650000,650252000,668386000,660150000,586938000,555381000,
212106,Duquesne University,488351000,370371000,307895000,280034000,296807000,260632000,203875000,177211000,
212133,Eastern University,30450336,30671842,29034682,26500329,28863478,29002421,24719267,21779784,
212197,Elizabethtown College,83894417,80710351,76065139,69681864,69815043,67653893,61033859,54756286,
212443,Evangelical Theological Seminary,2550572,2593537,2466871,2304910,2425547,,1994221,2033507,
212577,Franklin and Marshall College,387957207,386590960,367933000,328340000,334620000,339204000,306219000,285108000,
212601,Gannon University,65365000,63421000,60226000,56566000,58151000,56142000,47281000,41278000,
456542,Geisinger Commonwealth School of Medicine,2514512,2285573,1957075,1386406,1184831,760012,720000,710125,
212656,Geneva College,43264240,42067457,36976463,36936073,39260559,38063014,35192570,31944786,
212674,Gettysburg College,324181464,331220428,313816062,282922994,295910848,289299515,261569952,231450602,
212771,Gratz College,5266234,5347641,5206923,5139941,4180471,3209310,3427106,3188262,
212805,Grove City College,140860752,128200650,112774893,103492971,109623107,111608326,100367983,92286762,
212832,Gwynedd Mercy University,29726000,38398000,34244000,29330000,23267000,20981000,17850000,15556000,
446640,Harrisburg University of Science and Technology,,,,,,,,,
212911,Haverford College,526881390,518884972,502942006,464632124,485556467,490699895,434233554,387446074,
212984,Holy Family University,21183406,19989472,18469949,16692936,16883924,14990330,12953988,11476731,
213011,Immaculata University,18532299,19677380,18332331,16911661,17445622,17384822,15609767,14095116,
448691,International Institute for Restorative Practices,,,,,,,,,
213251,Juniata College,117274164,122307061,115779230,107541922,110564368,106785783,95329154,78688365,
213303,Keystone College,6660167,8090764,7764036,7489408,7768045,,7462100,6740723,
213321,King's College,86771190,84545282,77806569,68256248,70165262,67426065,60127322,49512080,
213358,La Roche University,6068411,5904372,5742494,5328532,5253695,5273928,4733658,4415278,
213367,La Salle University,80311293,85073509,85131784,81634258,87982244,87350063,81486938,71684681,
213376,Lackawanna College,6874833,6160462,6819698,6042798,5582606,,,,
213385,Lafayette College,861784000,870742000,833069000,774729000,809061387,832811462,749031061,640768818,
407629,Lake Erie College of Osteopathic Medicine,2977275,2913651,2673555,2621003,2068935,1958497,1654633,934298,
213400,Lancaster Bible College,14285556,13911215,13384848,12888371,13324114,11429779,10606962,10159512,
213446,Lancaster Theological Seminary,14128506,13349490,13285150,12461487,12270776,12807303,11589789,10283259,
213507,Lebanon Valley College,71832368,70470790,67470033,60271445,61750747,58365855,48933275,47826801,
213543,Lehigh University,1411641000,1353116000,1278120000,1162711000,1213207000,1215926000,1103449000,1035593000,
213668,Lycoming College,201549000,207600000,200823000,183383000,194189000,198093000,167609000,155222000,
213774,Manor College,2852752,2868913,2794970,2802233,2525853,2342479,2079144,1921799,
213826,Marywood University,43578582,41648961,37738214,33456046,35388057,39334440,40943929,39638150,
213987,Mercyhurst University,27056711,27708196,28830000,29431000,30250000,27046522,26876000,23779000,
213996,Messiah University,137947425,138195362,134388110,126049512,131124490,136764981,123524660,120273910,
214069,Misericordia University,54532128,52375474,49223679,43549699,44087114,39366559,30695310,25434408,
211130,Missio Theological Seminary,2121678,2262764,2105766,1806067,1813362,1754845,1580115,1377812,
214148,Moore College of Art and Design,29453067,27441223,26576361,20805560,21714876,20400460,15844408,12547987,
214157,Moravian College,117877996,116197713,111317447,102415126,106240788,108683476,98448359,91585695,
214166,Mount Aloysius College,43986493,43616112,41386792,35416017,35028819,29998683,23754593,20012935,
214175,Muhlenberg College,288973791,285926691,272864962,246967162,256685858,257186607,197593274,149466765,
214272,Neumann University,33851929,32252277,30752163,28018213,28205381,27614546,24238106,22292818,
214883,Peirce College,3271824,3175705,996102,235422,239244,238688,223222,163182,
214971,Pennsylvania Academy of the Fine Arts,37873755,17280676,15636216,14646395,15125343,15900403,14161362,13145299,
215053,Pennsylvania College of Art and Design,1850446,1800243,1571735,1457605,1438962,1468303,1309630,1216052,
442356,Pennsylvania College of Health Sciences,7343381,5946947,5330325,4505152,3265978,1835002,1501828,1378086,
215123,Philadelphia College of Osteopathic Medicine,417912181,406563435,332765736,303960313,262937961,261548708,202302320,180918577,
215415,Pittsburgh Technical College,500000,500000,500000,,,,,,
215424,Pittsburgh Theological Seminary,200850016,208698911,199823588,181842029,186764754,188654845,173956467,153093665,
215442,Point Park University,46966012,47117897,42461282,34215179,37133997,37053220,31430019,27379287,
215619,Reconstructionist Rabbinical College,13185492,14047209,14311665,13793530,14309454,15895744,15276726,14495723,
215628,Reformed Presbyterian Theological Seminary,2511779,2604761,2330897,2222822,2222823,2106404,1703480,1614893,
215655,Robert Morris University,36618716,36537265,33625855,30316537,32364904,32200008,28594997,24748755,
215691,Rosemont College,17166350,17509236,17230139,16889478,13024372,12903017,12857875,12782188,
216047,Saint Charles Borromeo Seminary-Overbrook,19032078,18862688,16628660,15857192,16491148,16954152,14773535,13122281,
215743,Saint Francis University,51793305,50298794,48672376,44271913,45757516,45307899,39427693,34705512,
215770,Saint Joseph's University,294286969,280330988,234094481,202181466,215905363,209285519,193169663,168833567,
215798,Saint Vincent College,113406673,109819967,98817264,84930813,86954737,89758038,78366120,71337060,
215813,Saint Vincent Seminary,,,,,,,,,
