UnitID,Institution Name,Total expenses-Total amount (F1819_F2),Total expenses-Total amount (F1718_F2_RV),Total expenses-Total amount (F1617_F2_RV),Total expenses-Total amount (F1516_F2_RV),Total expenses-Total amount (F1415_F2_RV),Total expenses-Total amount (F1314_F2_RV),Total expenses-Total amount (F1213_F2_RV),Total expenses-Total amount (F1112_F2_RV),
210508,Academy of Vocal Arts,4434674,4067819,4027092,4039627,3982951,3679590,3490496,3304856,
210571,Albright College,50449715,51658898,54428540,53449958,54443167,53560772,51647535,53585888,
210669,Allegheny College,73972226,82137830,77063260,77664739,79927462,78238747,76798201,75176610,
210775,Alvernia University,61046030,58120275,56250990,56184668,54591528,53583202,50442109,48540862,
210809,American College of Financial Services,38726053,39374922,40856703,37912466,36066611,32639834,30448404,29158396,
211088,Arcadia University,118964000,120483000,123626000,128452000,127161000,123242000,76173000,80012000,
210492,Bryn Athyn College of the New Church,17295939,16778882,15362871,14697967,14277944,13812889,13862853,15034171,
211273,Bryn Mawr College,133746000,122074000,123769000,122188000,117866000,117304000,115806000,107955000,
211291,Bucknell University,239462000,241253000,231833000,219237000,205637000,200780000,195091000,179256000,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,948329,877438,784556,769641,825917,748111,688904,667548,
211352,Cabrini University,54617006,55873422,54764096,55124151,52519052,49330002,52439008,51998139,
215114,Cairn University-Langhorne,22060103,21185792,20140655,19717582,19789452,20657474,20954703,20782359,
211431,Carlow University,48114142,48280220,45618402,44774510,43499287,43030713,42072723,41872202,
211440,Carnegie Mellon University,1251069552,1198662597,1134536986,1096053023,1085370967,1061772569,1027732912,974784095,
211468,Cedar Crest College,37788142,36402463,33642339,31964780,30022537,29181528,29754544,30620224,
211556,Chatham University,70146590,65300384,63275458,59205940,53503234,52813772,49662274,52149286,
211583,Chestnut Hill College,37232898,36912718,36130845,37305569,38342883,37850971,38725099,37986217,
211024,Clarks Summit University,9367877,10538724,12013251,13225863,14303665,14333137,13955281,14438380,
211893,Curtis Institute of Music,23059459,22163531,22145306,20120441,20228847,18784965,17760901,15488729,
211981,Delaware Valley University,61549318,59479576,57977786,58790594,55429269,54828054,56078160,52086094,
210739,DeSales University,75868551,74512188,72299177,70071894,65296174,61637585,58606089,55647651,
212009,Dickinson College,129952814,136121013,130742025,128687573,123358520,122765892,120912841,116040221,
212054,Drexel University,1072420000,1019498000,1035047000,1006804000,991482000,976654000,891847000,867745000,
212106,Duquesne University,287389000,283203000,279477000,286415000,278713000,261883000,256880000,254029000,
212133,Eastern University,52186132,55562136,57451937,61286721,63806331,64034101,64595007,66994175,
212197,Elizabethtown College,72275799,64423202,66976896,65463536,66265236,65388994,65516123,63780374,
212443,Evangelical Theological Seminary,2315746,2208210,2268309,2215546,2178499,2184258,2237143,2202884,
212577,Franklin and Marshall College,141991744,140525873,138275961,136202887,126449000,122920385,120358795,113922045,
212601,Gannon University,89426000,87808000,96930000,87115000,81790000,76677000,73905000,72369000,
456542,Geisinger Commonwealth School of Medicine,36356093,34740684,35498270,33668071,33103628,32742576,32538887,32615131,
212656,Geneva College,34031726,33853029,35321136,35463390,36895393,38338267,38088299,38102838,
