UnitID,Institution Name,Grand total (EF2019  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),
177834,A T Still University of Health Sciences,,,,,,,,,
222178,Abilene Christian University,932,924,972,1047,1072,974,1030,957,
451079,Academy for Five Element Acupuncture,,,,,,,,,
457271,Academy for Jewish Religion-California,,,,,,,,,
108269,Academy of Chinese Culture and Health Sciences,,,,,,,,,
210508,Academy of Vocal Arts,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,
188429,Adelphi University,1132,1245,1131,1226,868,975,918,999,
374024,Adler Graduate School,,,,,,,,,
142832,Adler University,,,,,,,,,
168528,Adrian College,541,634,529,490,502,485,467,593,
133872,AdventHealth University,64,94,107,92,81,88,59,96,
138600,Agnes Scott College,299,324,251,272,272,225,252,232,
483975,Alabama College of Osteopathic Medicine,,,,,,,,,
188526,Albany College of Pharmacy and Health Sciences,185,191,186,154,188,213,243,247,
188535,Albany Law School,,,,,,,,,
188580,Albany Medical College,,,,,,,,,
128498,Albertus Magnus College,246,169,115,132,145,159,143,125,
168546,Albion College,415,428,515,402,455,357,346,360,
132842,Albizu University-Miami,5,6,17,8,8,12,10,11,
210571,Albright College,370,575,464,596,493,540,655,410,
237118,Alderson Broaddus University,271,256,309,260,333,346,438,394,
188641,Alfred University,458,437,418,417,452,489,535,536,
156189,Alice Lloyd College,199,209,224,156,213,229,189,200,
210669,Allegheny College,500,474,484,553,492,476,604,587,
200873,Allegheny Wesleyan College,15,13,16,19,12,24,15,11,
152798,Allen College,,,,,,,1,1,
217624,Allen University,241,271,189,138,176,189,180,125,
168591,Alma College,387,404,408,447,336,356,378,435,
210775,Alvernia University,399,435,371,345,401,376,389,412,
238193,Alverno College,171,187,197,168,231,198,208,199,
222628,Amberton University,,,,,,,,,
490081,America Evangelical University,2,21,2,,,,,,
142887,American Academy of Art,42,61,56,74,75,94,100,114,
219505,American Baptist College,23,19,8,20,14,14,10,9,
210809,American College of Financial Services,,,,,,,,,
109086,American Conservatory Theater,,,,,1,,,,
108870,American Film Institute Conservatory,,,,,,,,,
164447,American International College,379,346,373,322,341,309,346,308,
142957,American Islamic College,,1,,3,4,,,,
116846,American Jewish University,,6,10,4,10,12,7,12,
188854,American Musical and Dramatic Academy,533,545,563,598,531,606,462,503,
131159,American University,1754,1758,1785,1683,1787,1787,1626,1597,
164465,Amherst College,470,492,471,471,477,469,466,463,
151865,Anabaptist Mennonite Biblical Seminary,,,,,,,,,
150066,Anderson University,330,396,347,425,426,441,442,519,
217633,Anderson University,639,643,681,670,666,648,505,542,
138761,Andrew College,106,131,115,152,161,153,184,174,
168740,Andrews University,283,296,280,304,271,273,321,388,
164492,Anna Maria College,269,318,272,218,235,170,243,247,
483018,Antioch College,21,34,19,31,56,59,91,,
458113,Antioch College AG,1,5,2,11,5,11,5,8,
245838,Antioch University-Los Angeles,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,
442392,Antioch University-PhD Program in Leadership and Change,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,
245883,Antioch University-Seattle,,,,,,,20,26,
440138,Antioch University-System Administration,,,,,,,,,
237136,Appalachian Bible College,40,38,41,41,43,35,61,73,
449922,Appalachian College of Pharmacy,,,,,,,,,
432348,Appalachian School of Law,,,,,,,,,
168786,Aquinas College,262,333,314,299,370,354,391,452,
176600,Aquinas Institute of Theology,,,,,,,,,
211088,Arcadia University,530,474,569,606,602,674,597,680,
105899,Arizona Christian University,222,158,153,129,121,154,90,96,
106306,Arkansas Baptist College,225,190,179,266,401,297,237,282,
488527,Arkansas Colleges of Health Education,,,,,,,,,
222877,Arlington Baptist University,38,39,21,25,34,40,44,57,
201061,Art Academy of Cincinnati,76,63,30,55,58,53,55,38,
109651,Art Center College of Design,267,241,223,211,181,174,164,159,
156222,Asbury Theological Seminary,,,,,,,,,
156213,Asbury University,292,279,323,306,314,306,322,322,
201104,Ashland University,613,602,615,623,587,604,623,566,
188942,Associated Beth Rivkah Schools,68,63,54,48,54,39,26,45,
164562,Assumption University,563,553,492,578,570,571,502,559,
201140,Athenaeum of Ohio,7,1,2,6,18,7,27,19,
439446,Atlantic Institute of Oriental Medicine,,,,,,,,,
173045,Augsburg University,636,418,436,477,478,393,466,382,
143084,Augustana College,678,630,735,698,678,726,627,656,
219000,Augustana University,432,456,481,424,367,396,367,407,
201177,Aultman College of Nursing and Health Sciences,30,34,36,24,13,6,5,4,
143118,Aurora University,814,762,801,654,625,660,701,523,
222983,Austin College,378,435,332,345,355,357,364,308,
247825,Austin Graduate School of Theology,,,,,,,,,
223001,Austin Presbyterian Theological Seminary,,,,,,,,,
442295,Ave Maria School of Law,,,,,,,,,
446048,Ave Maria University,310,331,283,267,303,304,254,260,
231420,Averett University,229,291,280,236,265,213,237,257,
449931,Averett University-Non-Traditional Programs,9,5,8,4,7,14,32,5,
176628,Avila University,153,168,183,203,202,204,182,210,
109785,Azusa Pacific University,692,1005,1005,1139,1202,1046,1225,1250,
164580,Babson College,600,539,550,588,528,506,489,470,
206817,Bacone College,83,40,336,414,175,215,243,284,
128586,Bais Binyomin Academy,17,12,7,14,16,10,15,15,
476601,Bais HaMedrash and Mesivta of Baltimore,24,22,25,20,22,24,24,17,
245777,Bais Medrash Elyon,14,4,,,,,,1,
490513,Bais Medrash Mayan Hatorah,9,19,21,,,,,,
449658,Bais Medrash Toras Chesed,27,24,28,26,28,26,29,28,
168847,Baker College,690,745,814,2276,3265,657,847,845,
154688,Baker University,245,247,258,246,186,224,235,202,
420705,Bakke Graduate University,,,,,,,,,
201195,Baldwin Wallace University,665,677,685,706,768,717,765,712,
189015,Bank Street College of Education,,,,,,,,,
