UnitID,Institution Name,Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),
177834,A T Still University of Health Sciences,,,,,,,,,
222178,Abilene Christian University,715,723,760,813,773,771,760,649,
451079,Academy for Five Element Acupuncture,,,,,,,,,
457271,Academy for Jewish Religion-California,,,,,,,,,
108269,Academy of Chinese Culture and Health Sciences,,,,,,,,,
210508,Academy of Vocal Arts,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,
188429,Adelphi University,977,902,970,710,803,749,808,806,
374024,Adler Graduate School,,,,,,,,,
142832,Adler University,,,,,,,,,
168528,Adrian College,408,375,314,336,344,268,344,307,
133872,AdventHealth University,42,57,58,36,33,23,40,1,
138600,Agnes Scott College,274,198,236,229,195,206,192,186,
483975,Alabama College of Osteopathic Medicine,,,,,,,,,
188526,Albany College of Pharmacy and Health Sciences,137,149,123,154,187,195,200,177,
188535,Albany Law School,,,,,,,,,
188580,Albany Medical College,,,,,,,,,
128498,Albertus Magnus College,114,78,89,100,107,115,112,94,
168546,Albion College,341,386,318,371,287,289,290,280,
132842,Albizu University-Miami,3,13,5,3,3,5,4,5,
210571,Albright College,398,316,410,352,420,501,293,384,
237118,Alderson Broaddus University,127,159,148,183,189,247,227,91,
188641,Alfred University,318,306,283,343,369,401,400,382,
156189,Alice Lloyd College,121,101,73,173,132,142,125,90,
210669,Allegheny College,405,396,449,406,394,500,499,496,
200873,Allegheny Wesleyan College,7,10,16,9,16,12,5,3,
152798,Allen College,0,0,0,0,0,1,0,0,
217624,Allen University,143,67,49,82,73,90,54,109,
168591,Alma College,312,321,342,268,298,296,343,315,
210775,Alvernia University,313,276,267,327,286,301,292,281,
238193,Alverno College,116,127,115,161,132,149,137,139,
222628,Amberton University,,,,,,,,,
490081,America Evangelical University,0,0,1,,,,,,
142887,American Academy of Art,38,31,42,45,50,54,66,76,
219505,American Baptist College,10,4,8,8,6,6,3,7,
210809,American College of Financial Services,,,,,,,,,
109086,American Conservatory Theater,0,0,0,0,0,,,,
108870,American Film Institute Conservatory,,,,,,,,,
164447,American International College,236,237,193,233,222,237,199,157,
142957,American Islamic College,0,,1,1,4,,,,
116846,American Jewish University,,7,2,7,6,6,10,6,
188854,American Musical and Dramatic Academy,137,131,117,147,153,130,147,162,
131159,American University,1519,1560,1505,1597,1574,1439,1406,1380,
164465,Amherst College,476,452,455,458,459,459,452,454,
151865,Anabaptist Mennonite Biblical Seminary,,,,,,,,,
150066,Anderson University,272,223,308,324,324,324,378,378,
217633,Anderson University,514,539,498,502,473,386,389,395,
138761,Andrew College,3,1,0,69,90,87,77,74,
168740,Andrews University,251,222,261,230,206,241,301,291,
164492,Anna Maria College,207,170,150,155,109,160,169,135,
483018,Antioch College,23,9,18,32,48,80,65,,
458113,Antioch College AG,0,0,2,2,2,1,2,6,
245838,Antioch University-Los Angeles,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,
442392,Antioch University-PhD Program in Leadership and Change,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,
245883,Antioch University-Seattle,,,,,0,,0,2,
440138,Antioch University-System Administration,,,,,,,,,
237136,Appalachian Bible College,28,28,23,22,16,35,28,26,
449922,Appalachian College of Pharmacy,,,,,,,,,
432348,Appalachian School of Law,,,,,,,,,
168786,Aquinas College,259,241,220,284,286,306,342,283,
176600,Aquinas Institute of Theology,,,,,,,,,
211088,Arcadia University,376,439,466,461,533,487,579,403,
105899,Arizona Christian University,86,90,85,63,84,65,64,66,
106306,Arkansas Baptist College,5,7,2,8,4,8,101,127,
488527,Arkansas Colleges of Health Education,,,,,,,,,
222877,Arlington Baptist University,19,7,10,13,18,19,26,16,
201061,Art Academy of Cincinnati,39,14,35,32,36,36,27,49,
109651,Art Center College of Design,190,182,167,140,129,123,127,113,
156222,Asbury Theological Seminary,,,,,,,,,
156213,Asbury University,224,258,259,252,246,262,257,259,
201104,Ashland University,455,478,474,467,454,477,412,431,
188942,Associated Beth Rivkah Schools,20,18,39,52,36,15,37,16,
164562,Assumption University,467,409,476,468,474,416,466,493,
201140,Athenaeum of Ohio,,,,,,,,,
439446,Atlantic Institute of Oriental Medicine,,,,,,,,,
173045,Augsburg University,301,312,363,366,309,347,310,302,
143084,Augustana College,525,644,603,602,626,520,558,597,
219000,Augustana University,372,407,361,309,333,295,323,354,
201177,Aultman College of Nursing and Health Sciences,21,21,0,0,0,0,0,2,
143118,Aurora University,560,600,479,431,418,456,368,330,
222983,Austin College,340,271,278,296,296,314,255,276,
247825,Austin Graduate School of Theology,,,,,,,,,
223001,Austin Presbyterian Theological Seminary,,,,,,,,,
442295,Ave Maria School of Law,,,,,,,,,
