UnitID,Institution Name,Full time total (EF2019  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),
177834,A T Still University of Health Sciences,,,,,,,,,
222178,Abilene Christian University,907,905,940,993,1069,974,1026,957,
451079,Academy for Five Element Acupuncture,,,,,,,,,
457271,Academy for Jewish Religion-California,,,,,,,,,
108269,Academy of Chinese Culture and Health Sciences,,,,,,,,,
210508,Academy of Vocal Arts,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,
188429,Adelphi University,1124,1237,1121,1215,854,954,903,996,
374024,Adler Graduate School,,,,,,,,,
142832,Adler University,,,,,,,,,
168528,Adrian College,540,633,529,490,502,484,458,592,
133872,AdventHealth University,50,89,97,78,74,73,45,83,
138600,Agnes Scott College,299,324,251,272,271,225,252,232,
483975,Alabama College of Osteopathic Medicine,,,,,,,,,
188526,Albany College of Pharmacy and Health Sciences,185,191,185,153,188,213,243,247,
188535,Albany Law School,,,,,,,,,
188580,Albany Medical College,,,,,,,,,
128498,Albertus Magnus College,246,169,115,129,142,157,137,124,
168546,Albion College,415,428,515,402,455,357,346,360,
132842,Albizu University-Miami,4,5,15,7,5,6,9,4,
210571,Albright College,370,575,464,596,493,540,655,410,
237118,Alderson Broaddus University,271,256,309,260,333,346,438,394,
188641,Alfred University,458,437,418,417,452,489,535,536,
156189,Alice Lloyd College,199,209,224,156,213,229,189,199,
210669,Allegheny College,496,470,481,551,489,473,601,584,
200873,Allegheny Wesleyan College,14,13,15,18,12,24,15,11,
152798,Allen College,,,,,,,1,,
217624,Allen University,229,263,183,135,172,189,179,121,
168591,Alma College,384,404,408,447,336,356,378,435,
210775,Alvernia University,399,434,371,345,401,376,389,411,
238193,Alverno College,170,185,196,163,225,193,202,191,
222628,Amberton University,,,,,,,,,
490081,America Evangelical University,2,11,1,,,,,,
142887,American Academy of Art,39,49,40,55,59,69,75,81,
