UnitID,Institution Name,Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),
177834,A T Still University of Health Sciences,,,,,,,,,
222178,Abilene Christian University,18356464,17072992,17108317,15873781,16551093,15510350,15650053,12061047,
451079,Academy for Five Element Acupuncture,,,,,,,,,
457271,Academy for Jewish Religion-California,,,,,,,,,
108269,Academy of Chinese Culture and Health Sciences,,,,,,,,,
210508,Academy of Vocal Arts,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,
188429,Adelphi University,21347063,22292065,17919736,19064420,12894015,12608271,12073226,13197307,
374024,Adler Graduate School,,,,,,,,,
142832,Adler University,,,,,,,,,
168528,Adrian College,14023927,16193114,11750548,10029769,9695791,8353294,8234887,10077444,
133872,AdventHealth University,251977,309564,340075,72552,42509,32504,2300,5903,
138600,Agnes Scott College,8601843,8906577,6651216,6901782,6565817,5311841,5611786,4814972,
483975,Alabama College of Osteopathic Medicine,,,,,,,,,
188526,Albany College of Pharmacy and Health Sciences,2925435,2893374,2521648,1822000,2367500,2163110,2222460,2170191,
188535,Albany Law School,,,,,,,,,
188580,Albany Medical College,,,,,,,,,
128498,Albertus Magnus College,4641704,3126407,1971083,2048179,1917978,2019820,2149642,1550858,
168546,Albion College,16147767,15944929,18223615,12427715,12968809,8123466,7210691,6680663,
132842,Albizu University-Miami,0,0,0,0,0,0,0,0,
210571,Albright College,5777679,20123933,13123204,15862102,11500282,11892204,14489599,8063939,
237118,Alderson Broaddus University,5021857,4313978,4728969,4211381,4884047,4310227,5544017,5062893,
188641,Alfred University,8860517,8117497,7535568,6782751,6964067,7943006,8376934,8086090,
156189,Alice Lloyd College,620717,698196,754463,550971,525374,505182,507524,483769,
210669,Allegheny College,17915988,16760723,15418880,16699836,13220879,11826037,13121452,12317472,
200873,Allegheny Wesleyan College,15500,15310,35018,36499,32174,95304,35683,23026,
152798,Allen College,,,,,,,5750,2000,
217624,Allen University,868246,717232,412005,99786,340497,100000,100000,171852,
168591,Alma College,11201612,11182482,10843864,11325172,8024786,7746352,7703498,8622521,
210775,Alvernia University,7216954,7596733,6068187,5253325,6173692,5324848,4142736,4361837,
238193,Alverno College,2529749,2557864,2668373,2142116,2313757,2307041,2080767,1703863,
222628,Amberton University,,,,,,,,,
490081,America Evangelical University,4800,15926,840,720,,,,,
