UnitID,Institution Name,Total expenses-Total amount (F1819_F2),Total expenses-Total amount (F1718_F2_RV),Total expenses-Total amount (F1617_F2_RV),Total expenses-Total amount (F1516_F2_RV),Total expenses-Total amount (F1415_F2_RV),Total expenses-Total amount (F1314_F2_RV),Total expenses-Total amount (F1213_F2_RV),Total expenses-Total amount (F1112_F2_RV),
177834,A T Still University of Health Sciences,149434786,142887756,141791992,137894542,125848200,121619077,113129947,107524256,
222178,Abilene Christian University,140618972,145485782,138908085,129721812,121674603,119621431,113646193,113151613,
451079,Academy for Five Element Acupuncture,1472635,1250772,1227387,1312973,1194383,1101432,1106050,1096085,
457271,Academy for Jewish Religion-California,1271953,1310341,1289831,1536034,1652962,1597986,1562690,1424939,
108269,Academy of Chinese Culture and Health Sciences,1713462,1796304,1631073,1734661,1869753,1599839,1720087,1683174,
210508,Academy of Vocal Arts,4434674,4067819,4027092,4039627,3982951,3679590,3490496,3304856,
384306,Acupuncture and Integrative Medicine College-Berkeley,1962500,1903784,2024901,2077880,2284779,2178226,2144320,2268842,
188429,Adelphi University,224833409,216640048,208891992,196519595,191318296,187792561,181646333,176805019,
374024,Adler Graduate School,4387692,3987287,3551927,3973942,3392958,3038434,2748647,2759525,
142832,Adler University,36269158,36380923,37258526,36561132,33765751,32311274,30625421,28471684,
168528,Adrian College,50202398,48242633,48057512,46037117,44724557,42961370,43009862,40934460,
133872,AdventHealth University,35018645,35130018,34390946,33263670,31008687,29221276,29520971,29571157,
138600,Agnes Scott College,59745704,56036998,55209213,53833355,49773088,47103820,46559325,45643349,
483975,Alabama College of Osteopathic Medicine,24087442,21257405,18440884,17359327,12896773,10636432,,,
188526,Albany College of Pharmacy and Health Sciences,49791223,47349161,46311824,46042720,47200396,47835244,46666031,44345323,
188535,Albany Law School,20471106,18942219,18578018,18008560,19354131,22284845,24134831,27226048,
188580,Albany Medical College,400610000,398096000,378758000,348301000,323126254,288155790,273515612,249626367,
128498,Albertus Magnus College,30322333,26838928,24345546,26592071,27043262,27348776,29461999,29780093,
168546,Albion College,63773359,62083494,57104868,59500080,55025646,53066919,48128602,54751154,
132842,Albizu University-Miami,11448065,13016818,13068301,12549603,14422471,14662008,14446028,14947651,
210571,Albright College,50449715,51658898,54428540,53449958,54443167,53560772,51647535,53585888,
237118,Alderson Broaddus University,24208128,25860957,26065246,26726383,25360857,23508543,20028494,17197845,
188641,Alfred University,73360145,70311673,69503372,67195256,65956009,65323812,65693775,70661060,
156189,Alice Lloyd College,14867434,14667548,14246296,13825599,13485220,13258076,12792935,12493453,
210669,Allegheny College,73972226,82137830,77063260,77664739,79927462,78238747,76798201,75176610,
200873,Allegheny Wesleyan College,1151984,1042082,889946,877081,908737,790376,786688,832919,
152798,Allen College,10605411,9517193,9075191,8461532,8065937,7606256,7173954,6547891,
217624,Allen University,16575386,15484882,13768248,15395229,16163690,13369240,17419803,23403507,
168591,Alma College,51583304,50697784,49521882,48294142,46783052,45488637,44009065,43566952,
210775,Alvernia University,61046030,58120275,56250990,56184668,54591528,53583202,50442109,48540862,
238193,Alverno College,39166427,39535958,40509305,42674410,44077083,44161203,41876483,42159561,
222628,Amberton University,6767819,6448222,6114741,5718831,5723990,5507871,5217499,5210614,
490081,America Evangelical University,905535,748641,678112,,,,,,
142887,American Academy of Art,7562768,8290386,8160570,7647894,8339264,,,,
219505,American Baptist College,4388337,4265943,4257180,3633371,3007799,2233038,2174473,2205319,
210809,American College of Financial Services,38726053,39374922,40856703,37912466,36066611,32639834,30448404,29158396,
109086,American Conservatory Theater,26737832,27750331,25757283,24690088,22879586,20608970,21176064,20168000,
108870,American Film Institute Conservatory,36082514,34972176,34265122,33647189,32030951,31848925,32247987,28262642,
164447,American International College,54709944,53097572,52355957,52879846,51679578,48532817,44796317,45786340,
142957,American Islamic College,2086271,2004470,1970359,1783143,1575726,,,,
116846,American Jewish University,26067206,25810254,24622259,24601813,22932628,23468741,23921369,22873974,
188854,American Musical and Dramatic Academy,80461212,70475903,66853577,62880022,54931129,48173182,49371595,42040737,
131159,American University,626446000,585455000,534717000,505581000,491363000,475033000,463985000,453380000,
164465,Amherst College,219660432,203407526,194996830,199446914,180208286,178278441,175812917,167607223,
151865,Anabaptist Mennonite Biblical Seminary,4039757,3870931,4087409,4079368,4140564,4199348,4356478,4293365,
150066,Anderson University,44555000,43816000,45072000,48290000,47163000,48434000,50717000,49770000,
217633,Anderson University,58843025,56560580,53308352,46388254,42376322,38140824,37180686,33273489,
138761,Andrew College,8355045,7558221,7459377,7541934,7769668,7732078,7883737,7977840,
168740,Andrews University,93683437,95241805,92283145,95410812,102521964,97882268,96908664,94496721,
164492,Anna Maria College,27289195,25972705,24828506,24734154,24632133,24616096,25615866,24235268,
483018,Antioch College,18012786,15863387,17640628,21544944,20556574,19505674,13480867,,
458113,Antioch College AG,475205,555362,569544,593775,639352,566793,556426,614631,
245838,Antioch University-Los Angeles,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,
442392,Antioch University-PhD Program in Leadership and Change,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,
245883,Antioch University-Seattle,,,,,,,,,
440138,Antioch University-System Administration,67309472,70266030,69965742,74396653,72795219,71695945,72598882,73315273,
237136,Appalachian Bible College,5804316,8258075,7490532,6785295,6006251,6005653,6165988,6079316,
449922,Appalachian College of Pharmacy,7254877,7018725,6832409,6800979,6747869,6779158,6630161,6183219,
432348,Appalachian School of Law,5645970,5080126,4965975,5894836,6509504,7586806,7453355,6845387,
168786,Aquinas College,37569782,35894719,34808900,36595003,36883902,35773811,36619690,36450002,
176600,Aquinas Institute of Theology,2945672,2960421,2754943,2382361,2434441,2505269,2645283,2687781,
211088,Arcadia University,118964000,120483000,123626000,128452000,127161000,123242000,76173000,80012000,
105899,Arizona Christian University,20117377,13472522,14519641,11752242,14408293,12373732,11075577,9959033,
106306,Arkansas Baptist College,13861323,14819675,15784519,17062799,19333758,17017230,15081058,14858772,
488527,Arkansas Colleges of Health Education,21863238,16739284,9163843,3758576,,,,,
222877,Arlington Baptist University,3306006,3198083,3286589,3257342,3147057,3045073,3113640,3134795,
201061,Art Academy of Cincinnati,5157752,5017700,4510773,6547150,6458243,6322802,12490561,6934574,
109651,Art Center College of Design,105328000,98848000,88665000,117040000,110374000,100719000,83238000,84042000,
156222,Asbury Theological Seminary,29347647,29348904,28589741,28861406,26535112,24579280,23906051,24089704,
156213,Asbury University,37974268,38108985,36193853,36109077,37490413,34569887,32552799,30716858,
201104,Ashland University,106680081,98589366,95255700,91485926,87368824,90882500,99285453,91149398,
188942,Associated Beth Rivkah Schools,1513820,1311979,1295628,1315494,1011812,853973,920309,868216,
164562,Assumption University,69010433,67709850,67333253,68525905,68022430,67021711,67142782,64263854,
201140,Athenaeum of Ohio,5872739,6198981,5744162,5568304,5655257,5620186,5336572,5266202,
439446,Atlantic Institute of Oriental Medicine,2535792,2646641,2614290,2597875,2666650,2529692,2065771,1877204,
173045,Augsburg University,81416868,77145828,74390350,75373438,73204872,71848677,73198194,73543091,
143084,Augustana College,76883342,77400098,74983650,74979020,73903165,71741222,69102191,69444309,
219000,Augustana University,54345328,53099998,51238548,47991742,47037725,45995434,45483919,43247363,
201177,Aultman College of Nursing and Health Sciences,6223181,6083137,4633723,5182526,5050414,4749876,4556231,4465668,
143118,Aurora University,85380893,79137352,73486094,73124542,70718149,66404701,62877672,59695399,
222983,Austin College,46723631,47055373,44759946,43286433,43611568,40488779,42660486,39966810,
247825,Austin Graduate School of Theology,1489164,1413539,1414083,1454918,1435655,1337312,1307037,1170120,
223001,Austin Presbyterian Theological Seminary,9483080,10385298,10829858,9482453,8855532,8885566,8689027,8224719,
442295,Ave Maria School of Law,11880504,11117742,11193404,11511326,11324457,12664584,12501080,16588132,
446048,Ave Maria University,39899883,39261439,39127091,37885505,37089533,35887094,38894167,34285007,
231420,Averett University,27379273,26844368,25910942,26249561,22856131,23615793,25439723,24119747,
449931,Averett University-Non-Traditional Programs,4250588,4744942,4439421,6050689,7424265,8381240,9432340,5324234,
176628,Avila University,28482742,29220242,30089349,30488168,29784556,28045922,27231004,24794358,
109785,Azusa Pacific University,240563410,260675670,249237459,241894238,238377395,244742038,233594974,217828437,
164580,Babson College,217622252,207437927,202908136,191865408,187882455,184028524,167543235,161515864,
