,UnitID,Institution Name
0,177834,A T Still University of Health Sciences
2,451079,Academy for Five Element Acupuncture
3,457271,Academy for Jewish Religion-California
4,108269,Academy of Chinese Culture and Health Sciences
5,210508,Academy of Vocal Arts
6,384306,Acupuncture and Integrative Medicine College-Berkeley
8,374024,Adler Graduate School
9,142832,Adler University
13,483975,Alabama College of Osteopathic Medicine
15,188535,Albany Law School
16,188580,Albany Medical College
26,152798,Allen College
31,222628,Amberton University
32,490081,America Evangelical University
35,210809,American College of Financial Services
36,109086,American Conservatory Theater
37,108870,American Film Institute Conservatory
39,142957,American Islamic College
40,116846,American Jewish University
44,151865,Anabaptist Mennonite Biblical Seminary
50,483018,Antioch College
52,245838,Antioch University-Los Angeles
53,245892,Antioch University-Midwest
54,245865,Antioch University-New England
55,442392,Antioch University-PhD Program in Leadership and Change
56,245847,Antioch University-Santa Barbara
57,245883,Antioch University-Seattle
58,440138,Antioch University-System Administration
60,449922,Appalachian College of Pharmacy
61,432348,Appalachian School of Law
63,176600,Aquinas Institute of Theology
67,488527,Arkansas Colleges of Health Education
71,156222,Asbury Theological Seminary
77,439446,Atlantic Institute of Oriental Medicine
84,247825,Austin Graduate School of Theology
85,223001,Austin Presbyterian Theological Seminary
86,442295,Ave Maria School of Law
96,245777,Bais Medrash Elyon
97,490513,Bais Medrash Mayan Hatorah
101,420705,Bakke Graduate University
103,189015,Bank Street College of Education
112,177719,Barnes-Jewish College Goldfarb School of Nursing
115,235547,Bastyr University
118,223223,Baylor College of Medicine
139,461643,Bergin University of Canine Studies
140,108861,Berkeley School of Theology
143,485999,Bet Medrash Gadol Ateret Torah
145,183804,Beth Medrash Govoha
146,486196,Beth Medrash Meor Yitzchok
147,488314,Beth Medrash of Asbury Park
150,486284,Bethany Global University
152,143233,Bethany Theological Seminary
154,262022,Bethel Seminary-San Diego
159,486053,Bethlehem College & Seminary
162,443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.
165,442949,Birthingway College of Midwifery
167,143297,Blessing Rieman College of Nursing and Health Sciences
174,233356,Bon Secours Memorial College of Nursing
179,164915,Boston Graduate School of Psychoanalysis Inc
193,450304,Brite Divinity School
194,189501,Brooklyn Law School
205,444103,Byzantine Catholic Seminary of Saints Cyril and Methodius
211,110918,California Christian College
213,478634,California College San Diego
214,485263,California College San Diego
216,487649,California Institute of Advanced Management
217,110316,California Institute of Integral Studies
220,486488,California Jazz Conservatory
222,111391,California Western School of Law
225,169099,Calvin Theological Seminary
238,461032,Carolina College of Biblical Studies
239,489937,Carolina University
246,143659,Catholic Theological Union at Chicago
252,232618,Centra College
257,445267,Central Methodist University-College of Graduate and Extended Studies
259,488004,Central Yeshiva Beth Joseph
262,492069,Champion Christian College
265,111966,Charles R Drew University of Medicine and Science
