UnitID,Institution Name,Full-time adjusted fall 2018 cohort (EF2019D_RV),Full-time adjusted fall 2017 cohort (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),
177834,A T Still University of Health Sciences,,,,,,,,,
222178,Abilene Christian University,905,940,993,1068,973,1026,957,863,
451079,Academy for Five Element Acupuncture,,,,,,,,,
457271,Academy for Jewish Religion-California,,,,,,,,,
108269,Academy of Chinese Culture and Health Sciences,,,,,,,,,
210508,Academy of Vocal Arts,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,
188429,Adelphi University,1237,1121,1215,854,954,903,996,979,
374024,Adler Graduate School,,,,,,,,,
142832,Adler University,,,,,,,,,
168528,Adrian College,633,529,490,484,484,446,592,461,
133872,AdventHealth University,69,86,73,53,59,33,56,2,
138600,Agnes Scott College,324,251,272,271,225,252,232,228,
152822,AIB College of Business,,,,,129,147,0,0,
102580,Alaska Bible College,7,1,1,5,6,3,5,2,
102669,Alaska Pacific University,36,32,37,39,18,31,27,17,
188526,Albany College of Pharmacy and Health Sciences,191,185,153,188,213,243,247,212,
188535,Albany Law School,,,,,,,,,
188580,Albany Medical College,,,,,,,,,
128498,Albertus Magnus College,169,115,129,142,157,137,121,150,
168546,Albion College,428,515,402,455,357,346,360,385,
132842,Albizu University-Miami,5,15,7,5,6,9,4,8,
210571,Albright College,575,464,596,493,540,655,410,519,
237118,Alderson Broaddus University,256,309,260,333,346,438,394,137,
188641,Alfred University,437,418,417,452,489,535,536,559,
156189,Alice Lloyd College,203,209,90,205,207,189,199,182,
210669,Allegheny College,469,481,551,489,472,600,584,559,
200873,Allegheny Wesleyan College,12,15,18,10,24,15,11,8,
152798,Allen College,0,0,0,0,0,1,0,0,
217624,Allen University,256,183,135,172,189,179,121,179,
110468,Alliant International University-San Diego,0,9,0,11,16,24,4,0,
168591,Alma College,404,408,447,336,356,375,435,392,
210775,Alvernia University,434,371,345,401,376,389,411,376,
238193,Alverno College,164,187,162,223,192,202,191,191,
222628,Amberton University,,,,,,,,,
219505,American Baptist College,13,6,13,11,9,9,5,14,
210809,American College of Financial Services,,,,,,,,,
430591,American College of Traditional Chinese Medicine,,,,,,,,,
109086,American Conservatory Theater,0,0,0,0,0,,,,
108870,American Film Institute Conservatory,,,,,,,,,
103787,American Indian College Inc,,,,,17,14,6,8,
164447,American International College,342,369,320,337,308,344,307,256,
116846,American Jewish University,,10,4,8,12,7,12,8,
188854,American Musical and Dramatic Academy,172,180,163,183,204,161,177,205,
131159,American University,1752,1776,1676,1779,1784,1623,1594,1538,
164465,Amherst College,492,471,471,477,469,466,463,461,
100690,Amridge University,0,0,0,11,3,3,8,8,
151865,Anabaptist Mennonite Biblical Seminary,,,,,,,,,
150066,Anderson University,396,346,423,421,432,434,515,505,
217633,Anderson University,642,679,668,665,646,502,530,511,
164474,Andover Newton Theological School,,,,,,,,,
168740,Andrews University,289,272,296,265,259,307,383,367,
164492,Anna Maria College,318,272,218,232,168,242,246,223,
458113,Antioch College AG,0,0,6,2,2,1,4,7,
245838,Antioch University-Los Angeles,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,
442392,Antioch University-PhD Program in Leadership and Change,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,
245883,Antioch University-Seattle,,,,,0,,25,25,
441511,Apex School of Theology,,67,54,87,33,44,70,70,
172972,Apostolic Bible Institute Inc,,,,,,,,8,
237136,Appalachian Bible College,38,33,27,24,21,48,47,35,
449922,Appalachian College of Pharmacy,,,,,,,,,
