UnitID,Institution Name,Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),
177834,A T Still University of Health Sciences,,,,,,,,,
222178,Abilene Christian University,36300,34850,33330,32070,30830,29450,28350,26770,
451079,Academy for Five Element Acupuncture,,,,,,,,,
457271,Academy for Jewish Religion-California,,,,,,,,,
108269,Academy of Chinese Culture and Health Sciences,,,,,,,,,
210508,Academy of Vocal Arts,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,
188429,Adelphi University,40300,38740,37170,35740,34034,32340,30800,29320,
374024,Adler Graduate School,,,,,,,,,
142832,Adler University,,,,,,,,,
168528,Adrian College,37809,37087,36010,34890,33610,32660,30758,29156,
133872,AdventHealth University,12840,12240,14400,13480,13030,12430,11830,10780,
138600,Agnes Scott College,42690,41160,39960,38472,37236,35982,34788,33461,
152822,AIB College of Business,,,,,15666,15666,14913,14067,
102580,Alaska Bible College,9700,9600,9350,9300,9300,9300,9200,7130,
102669,Alaska Pacific University,20760,20760,20760,20310,19610,19610,29810,29810,
188526,Albany College of Pharmacy and Health Sciences,36745,35105,33621,31981,31081,30131,28900,27595,
188535,Albany Law School,,,,,,,,,
188580,Albany Medical College,,,,,,,,,
128498,Albertus Magnus College,33260,32060,31140,30526,29650,28930,28378,28358,
168546,Albion College,48275,45590,43050,41040,39313,37485,36051,34194,
132842,Albizu University-Miami,12444,12444,12444,12384,12384,12240,12048,12048,
210571,Albright College,25642,45306,43454,41544,39850,38220,36660,35320,
237118,Alderson Broaddus University,29220,27910,26610,25350,24140,22740,22740,22740,
188641,Alfred University,34770,29188,28114,27078,26261,26026,25430,27794,
156189,Alice Lloyd College,12230,11550,11550,11550,11460,10980,10620,10100,
210669,Allegheny College,49260,47540,45970,44250,42470,40660,39100,37610,
200873,Allegheny Wesleyan College,7000,7000,5000,5000,5000,4800,4800,4800,
152798,Allen College,19052,18662,18226,17769,17373,19295,18829,18103,
217624,Allen University,13340,12940,13140,13140,13140,13140,11940,12140,
110468,Alliant International University-San Diego,14880,14600,14310,17312,16800,16350,15816,15190,
168591,Alma College,41398,40258,38768,37310,35428,34220,32660,30960,
210775,Alvernia University,36350,34900,33640,32270,31100,30080,29060,27950,
238193,Alverno College,29456,28302,28277,26932,25660,24434,23231,22126,
222628,Amberton University,,,,,,,,,
219505,American Baptist College,12474,10074,10074,10074,10074,9610,9350,9372,
210809,American College of Financial Services,,,,,,,,,
430591,American College of Traditional Chinese Medicine,,,,,,,,,
109086,American Conservatory Theater,30456,29560,28705,27801,26951,,,,
108870,American Film Institute Conservatory,,,,,,,,,
103787,American Indian College Inc,,,,,11700,11700,12000,11700,
164447,American International College,36930,35680,34470,33140,31870,30940,30040,29158,
116846,American Jewish University,,31946,30938,30338,30236,29132,27900,27080,
188854,American Musical and Dramatic Academy,40444,38900,37370,35900,33920,32620,31820,31308,
131159,American University,49889,48459,46615,44853,43103,41833,40649,39499,
164465,Amherst College,58640,56426,54310,52476,50562,48526,46574,44610,
100690,Amridge University,6950,6900,6900,7180,6900,6900,6870,6800,
151865,Anabaptist Mennonite Biblical Seminary,,,,,,,,,
150066,Anderson University,31230,30450,29710,28650,27680,26850,26280,25560,
217633,Anderson University,29230,28000,26970,25880,24860,23750,22790,21730,
164474,Andover Newton Theological School,,,,,,,,,
168740,Andrews University,30158,29288,28436,27684,27000,26256,25470,24478,
164492,Anna Maria College,38630,37860,37130,36110,35074,34060,32134,30676,
458113,Antioch College AG,8420,8420,8100,8100,8100,8160,8050,6830,
245838,Antioch University-Los Angeles,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,
442392,Antioch University-PhD Program in Leadership and Change,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,
245883,Antioch University-Seattle,,,,,21315,21315,20595,20055,
441511,Apex School of Theology,5100,5100,5100,5100,5000,5000,4900,4900,
172972,Apostolic Bible Institute Inc,,,,,,,,3220,
237136,Appalachian Bible College,15162,14720,14290,14000,13590,13590,12945,12680,
449922,Appalachian College of Pharmacy,,,,,,,,,
432348,Appalachian School of Law,,,,,,,,,
168786,Aquinas College,33854,32574,31244,30062,28820,27906,26460,25250,
219578,Aquinas College,,,,21950,20550,20550,20550,19800,
176600,Aquinas Institute of Theology,,,,,,,,,
211088,Arcadia University,44440,43580,42330,40920,39560,38160,36810,35620,
105899,Arizona Christian University,27890,26796,24958,23896,23110,22466,21832,21040,
106306,Arkansas Baptist College,8760,8760,8760,8760,8760,8040,8040,7800,
222877,Arlington Baptist University,14370,13690,13600,11500,11000,9000,8840,7640,
201061,Art Academy of Cincinnati,34335,33450,31290,29752,27788,26376,24330,24330,
109651,Art Center College of Design,44932,43416,42008,40596,39230,37830,36480,35552,
156222,Asbury Theological Seminary,,,,,,,,,
156213,Asbury University,30952,30198,29500,28630,27934,26868,26076,25311,
201104,Ashland University,21980,21342,20700,20392,20242,19852,29836,28858,
164562,Assumption University,42316,40958,39598,36260,36160,36160,34975,33805,
201140,Athenaeum of Ohio,,,,,,,,,
439446,Atlantic Institute of Oriental Medicine,,,,,,,,,
173045,Augsburg University,39955,38800,37615,36415,35465,34431,33209,31942,
417345,Augusta Area Dietetic Internship-University Hospital,,,,,,,,,
143084,Augustana College,43610,42135,40908,39621,38466,37236,35835,34614,
219000,Augustana University,33960,33018,31960,30944,30090,29214,28630,27780,
143118,Aurora University,25060,24260,23520,22830,22080,21320,20720,20100,
222983,Austin College,41155,39960,38800,37315,36230,33840,33830,32850,
247825,Austin Graduate School of Theology,,,,,,,,,
223001,Austin Presbyterian Theological Seminary,,,,,,,,,
442295,Ave Maria School of Law,,,,,,,,,
446048,Ave Maria University,21854,20850,19970,19128,18479,17940,23000,21496,
231420,Averett University,35600,34520,33350,31980,30900,29150,27500,25950,
449931,Averett University-Non-Traditional Programs,11820,11520,10800,10325,10325,10325,,9100,
176628,Avila University,20500,19900,28020,27312,26450,25700,24950,23950,
109785,Azusa Pacific University,40220,38880,37506,36120,34754,33096,32256,31076,
164580,Babson College,52608,51104,49664,48288,46784,45120,43520,41888,
206817,Bacone College,14700,17700,17700,14850,14500,14050,14050,13510,
476601,Bais HaMedrash and Mesivta of Baltimore,13000,13000,12700,12400,12450,12250,11500,11500,
245777,Bais Medrash Elyon,8600,8600,8600,8600,,7800,7800,7800,
449658,Bais Medrash Toras Chesed,6900,6400,9500,9350,9100,8800,8800,8700,
168847,Baker College,9920,9800,9360,9000,8640,8280,8100,7740,
414708,Baker College Center for Graduate Studies,,,,,,10800,10800,10320,
444167,Baker College of Allen Park,,,,,,8280,8100,7740,
404073,Baker College of Auburn Hills,,,,,,8280,8100,7740,
404648,Baker College of Cadillac,,,,,,8280,8100,7740,
404082,Baker College of Clinton Township,,,,,,8280,8100,7740,
414160,Baker College of Jackson,,,,,,8280,8100,7740,
171298,Baker College of Muskegon,,,,,,8280,8100,7740,
168838,Baker College of Owosso,,,,,,8280,8100,7740,
381617,Baker College of Port Huron,,,,,,8280,8100,7740,
154688,Baker University,29880,29830,28960,28030,27160,26370,25580,24550,
420705,Bakke Graduate University,,,,,,,,,
201195,Baldwin Wallace University,33530,32586,31668,30776,29908,28814,27840,27060,
160968,Bangor Theological Seminary,,,,,,,,,
189015,Bank Street College of Education,,,,,,,,,
176664,Baptist Bible College,14250,14150,13850,10536,9894,9050,8090,7690,
219639,Baptist Health Sciences University,12332,11900,11542,11204,10892,10412,12480,11830,
223117,Baptist Missionary Association Theological Seminary,6900,6900,6000,5800,5700,5100,4500,4500,
366793,Baptist Theological Seminary at Richmond,,,,,,,,,
444398,Baptist University of the Americas,6480,6240,6240,6240,7200,7200,7200,6600,
155070,Barclay College,20400,19000,17720,15990,14390,14290,14090,13990,
189088,Bard College,56036,54680,52906,51384,49906,48240,46370,44798,
167792,Bard College at Simon's Rock,56901,55082,53418,52870,50209,48551,46713,45125,
189097,Barnard College,57668,55032,52662,50394,47631,46040,44790,43502,
177719,Barnes-Jewish College Goldfarb School of Nursing,,,,,,,,,
132471,Barry University,30014,30014,29850,28800,28800,28160,28160,28160,
197911,Barton College,31732,30880,29998,29052,27941,26664,25396,24180,
235547,Bastyr University,,,,,,,,,
160977,Bates College,55683,53794,52042,50310,48435,47030,45650,44300,
164632,Bay Path University,35081,34225,33557,32739,31785,30859,29959,28532,
223223,Baylor College of Medicine,,,,,,,,,
223232,Baylor University,47364,45542,43790,42006,40198,38120,35972,33716,
476717,Be'er Yaakov Talmudic Seminary,10260,10220,9300,9140,8750,8350,7600,7100,
384254,Beacon College,40880,39016,37788,36172,34680,33016,31496,29910,
164720,Becker College,40150,39200,38250,37272,34080,32870,31500,30340,
