UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
177834,A T Still University of Health Sciences,108431567,102316809,98383267,88685032,90384866,87668443,76658903,69989026,
222178,Abilene Christian University,444076565,431945603,384583626,351988153,382839788,370426298,330702573,307124825,
451079,Academy for Five Element Acupuncture,,,,,,,,,
457271,Academy for Jewish Religion-California,29442,36039,1273,51001,85000,100000,,,
108269,Academy of Chinese Culture and Health Sciences,,,,,,,,,
210508,Academy of Vocal Arts,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,
188429,Adelphi University,186036085,188578577,179762036,166191992,165664071,174477346,149312321,136116979,
374024,Adler Graduate School,,,,,,,,,
142832,Adler University,101690,98200,98200,98200,81200,80000,5008,5003,
168528,Adrian College,33975240,36705997,35135415,33612890,31441157,32027537,27351747,24607079,
133872,AdventHealth University,8625440,8283147,7823186,7418918,7120986,6896789,6358548,5981890,
138600,Agnes Scott College,217142446,229425820,229886873,223093814,261455879,272331405,251001216,240857513,
152822,AIB College of Business,,,,,,9487278,8168062,7250750,
102580,Alaska Bible College,46833,46833,46833,46833,48721,57605,57471,46833,
102669,Alaska Pacific University,74723616,99505839,84763279,88442076,88911394,103679684,102565270,59393247,
188526,Albany College of Pharmacy and Health Sciences,55402537,51444313,46417075,41288529,40499118,38615529,23298363,21258400,
188535,Albany Law School,66973794,66073279,67357721,64659751,66809503,70016775,56790189,47899668,
188580,Albany Medical College,101064000,115264000,98766000,97915000,102920806,99213964,84204906,76393351,
128498,Albertus Magnus College,26162088,26275879,7850942,6948392,6799067,6474325,5433307,4474506,
168546,Albion College,170105514,174309623,176849628,173073245,181488489,187707113,173147287,161163055,
132842,Albizu University-Miami,,,,,,,,,
210571,Albright College,69353651,69325252,67742285,62894902,65568547,64423254,57785112,51253102,
237118,Alderson Broaddus University,17367369,18150386,17923351,17715229,5137746,5381351,5499257,10691284,
