UnitID,Institution Name,Hospital services-Total amount (F1819_F2_RV),Hospital services-Total amount (F1718_F2_RV),Hospital services-Total amount (F1617_F2_RV),Hospital services-Total amount (F1516_F2_RV),Hospital services-Total amount (F1415_F2_RV),Hospital services-Total amount (F1314_F2_RV),Hospital services-Total amount (F1213_F2_RV),Hospital services-Total amount (F1112_F2_RV),
177834,A T Still University of Health Sciences,0,0,0,0,0,0,0,0,
222178,Abilene Christian University,0,0,0,0,0,0,0,0,
451079,Academy for Five Element Acupuncture,0,0,0,0,0,0,0,0,
457271,Academy for Jewish Religion-California,0,0,0,0,0,0,0,0,
108269,Academy of Chinese Culture and Health Sciences,0,0,0,0,0,0,0,0,
210508,Academy of Vocal Arts,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,0,0,0,0,0,0,0,0,
188429,Adelphi University,0,0,0,0,0,0,0,0,
374024,Adler Graduate School,0,0,0,0,0,0,0,0,
142832,Adler University,0,0,0,0,0,0,0,0,
168528,Adrian College,0,0,0,0,0,0,0,0,
133872,AdventHealth University,0,0,0,0,0,0,0,0,
138600,Agnes Scott College,0,0,0,0,0,0,0,0,
152822,AIB College of Business,,,,,0,0,0,0,
102580,Alaska Bible College,0,0,0,0,0,0,0,0,
102669,Alaska Pacific University,0,0,0,0,0,0,0,0,
188526,Albany College of Pharmacy and Health Sciences,0,0,0,0,0,0,0,0,
188535,Albany Law School,0,0,0,0,0,0,0,0,
188580,Albany Medical College,0,0,0,0,0,0,0,0,
128498,Albertus Magnus College,0,0,0,0,0,0,0,0,
168546,Albion College,0,0,0,0,0,0,0,0,
132842,Albizu University-Miami,0,0,0,0,0,0,0,0,
210571,Albright College,0,0,0,0,0,0,0,0,
237118,Alderson Broaddus University,0,0,0,0,0,0,0,0,
188641,Alfred University,0,0,0,0,0,0,0,0,
156189,Alice Lloyd College,0,0,0,0,0,0,0,0,
210669,Allegheny College,0,0,0,0,0,0,0,0,
200873,Allegheny Wesleyan College,0,0,0,0,0,0,0,0,
152798,Allen College,0,0,0,0,0,0,0,0,
217624,Allen University,0,0,0,0,0,0,0,0,
110468,Alliant International University-San Diego,,,,,,0,0,0,
168591,Alma College,0,0,0,0,0,0,0,0,
210775,Alvernia University,0,0,0,0,0,0,0,0,
238193,Alverno College,0,0,0,0,0,0,0,0,
222628,Amberton University,0,0,0,0,0,0,0,0,
219505,American Baptist College,0,0,0,0,0,0,0,0,
210809,American College of Financial Services,0,0,0,0,0,0,0,0,
430591,American College of Traditional Chinese Medicine,,,,,167704,203924,247557,275648,
109086,American Conservatory Theater,0,0,0,0,0,0,0,0,
108870,American Film Institute Conservatory,0,0,0,0,0,0,0,0,
103787,American Indian College Inc,,,,,0,0,0,0,
164447,American International College,0,0,0,0,0,0,0,0,
116846,American Jewish University,0,0,0,0,0,0,0,0,
188854,American Musical and Dramatic Academy,0,0,0,0,0,0,0,0,
131159,American University,0,0,0,0,0,0,0,0,
164465,Amherst College,0,0,0,0,0,0,0,0,
100690,Amridge University,0,0,0,0,0,0,0,0,
151865,Anabaptist Mennonite Biblical Seminary,0,0,0,0,0,0,0,0,
150066,Anderson University,0,0,0,0,0,0,0,0,
217633,Anderson University,0,0,0,0,0,0,0,0,
164474,Andover Newton Theological School,,0,0,0,0,0,0,0,
