UnitID,Institution Name,Grand total (EF2019_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2019_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full-time adjusted fall 2018 cohort (EF2019D_RV),Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D_RV),Full-time adjusted fall 2017 cohort (EF2018D_RV),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Total expenses-Total amount (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Total expenses-Total amount (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Total expenses-Total amount (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Total expenses-Total amount (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Total expenses-Total amount (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Total expenses-Total amount (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Total expenses-Total amount (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),Total expenses-Total amount (F1112_F2_RV),
177834,A T Still University of Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108431567,149434786,102316809,142887756,98383267,141791992,88685032,137894542,90384866,125848200,87668443,121619077,76658903,113129947,69989026,107524256,
222178,Abilene Christian University,932,907,924,905,972,940,1047,993,1072,1069,974,974,1030,1026,957,957,905,715,940,723,993,760,1068,813,973,773,1026,771,957,760,863,649,36300,34850,33330,32070,30830,29450,28350,26770,18356464,17072992,17108317,15873781,16551093,15510350,15650053,12061047,444076565,140618972,431945603,145485782,384583626,138908085,351988153,129721812,382839788,121674603,370426298,119621431,330702573,113646193,307124825,113151613,
451079,Academy for Five Element Acupuncture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472635,,1250772,,1227387,,1312973,,1194383,,1101432,,1106050,,1096085,
457271,Academy for Jewish Religion-California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29442,1271953,36039,1310341,1273,1289831,51001,1536034,85000,1652962,100000,1597986,,1562690,,1424939,
108269,Academy of Chinese Culture and Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713462,,1796304,,1631073,,1734661,,1869753,,1599839,,1720087,,1683174,
210508,Academy of Vocal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4434674,,4067819,,4027092,,4039627,,3982951,,3679590,,3490496,,3304856,
384306,Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962500,,1903784,,2024901,,2077880,,2284779,,2178226,,2144320,,2268842,
188429,Adelphi University,1132,1124,1245,1237,1131,1121,1226,1215,868,854,975,954,918,903,999,996,1237,977,1121,902,1215,970,854,710,954,803,903,749,996,808,979,806,40300,38740,37170,35740,34034,32340,30800,29320,21347063,22292065,17919736,19064420,12894015,12608271,12073226,13197307,186036085,224833409,188578577,216640048,179762036,208891992,166191992,196519595,165664071,191318296,174477346,187792561,149312321,181646333,136116979,176805019,
374024,Adler Graduate School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4387692,,3987287,,3551927,,3973942,,3392958,,3038434,,2748647,,2759525,
142832,Adler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101690,36269158,98200,36380923,98200,37258526,98200,36561132,81200,33765751,80000,32311274,5008,30625421,5003,28471684,
168528,Adrian College,541,540,634,633,529,529,490,490,502,502,485,484,467,458,593,592,633,408,529,375,490,314,484,336,484,344,446,268,592,344,461,307,37809,37087,36010,34890,33610,32660,30758,29156,14023927,16193114,11750548,10029769,9695791,8353294,8234887,10077444,33975240,50202398,36705997,48242633,35135415,48057512,33612890,46037117,31441157,44724557,32027537,42961370,27351747,43009862,24607079,40934460,
133872,AdventHealth University,64,50,94,89,107,97,92,78,81,74,88,73,59,45,96,83,69,42,86,57,73,58,53,36,59,33,33,23,56,40,2,1,12840,12240,14400,13480,13030,12430,11830,10780,251977,309564,340075,72552,42509,32504,2300,5903,8625440,35018645,8283147,35130018,7823186,34390946,7418918,33263670,7120986,31008687,6896789,29221276,6358548,29520971,5981890,29571157,
138600,Agnes Scott College,299,299,324,324,251,251,272,272,272,271,225,225,252,252,232,232,324,274,251,198,272,236,271,229,225,195,252,206,232,192,228,186,42690,41160,39960,38472,37236,35982,34788,33461,8601843,8906577,6651216,6901782,6565817,5311841,5611786,4814972,217142446,59745704,229425820,56036998,229886873,55209213,223093814,53833355,261455879,49773088,272331405,47103820,251001216,46559325,240857513,45643349,
152822,AIB College of Business,,,,,,,,,,,148,140,184,174,163,149,,,,,,,,,129,29,147,111,0,0,0,0,,,,,15666,15666,14913,14067,,,,,,1025069,1244437,1023063,,,,,,,,,,14172152,9487278,14910943,8168062,12110762,7250750,11024505,
102580,Alaska Bible College,7,5,9,9,7,7,6,6,5,5,14,14,13,12,13,12,7,3,1,1,1,1,5,2,6,4,3,1,5,3,2,1,9700,9600,9350,9300,9300,9300,9200,7130,437,2300,6350,1300,1000,7775,3750,2950,46833,968343,46833,895788,46833,889555,46833,1636142,48721,1163307,57605,1295273,57471,1601505,46833,1646950,
102669,Alaska Pacific University,52,48,41,36,35,32,40,39,42,39,19,18,32,31,29,28,36,26,32,26,37,29,39,20,18,10,31,24,27,18,17,11,20760,20760,20760,20310,19610,19610,29810,29810,437543,315565,355956,376440,345932,169452,423305,231977,74723616,17394097,99505839,16546810,84763279,17132419,88442076,16764367,88911394,17125309,103679684,16569251,102565270,16782514,59393247,15597757,
