UnitID,Institution Name,Grand total (EF2019  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,370,575,464,596,493,540,655,410,
210669,Allegheny College,500,474,484,553,492,476,604,587,
210775,Alvernia University,399,435,371,345,401,376,389,412,
210809,American College of Financial Services,,,,,,,,,
211088,Arcadia University,530,474,569,606,602,674,597,680,
210492,Bryn Athyn College of the New Church,79,64,97,70,90,85,81,55,
211273,Bryn Mawr College,374,391,354,407,385,351,365,365,
211291,Bucknell University,964,974,973,950,938,939,933,915,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
211352,Cabrini University,365,442,494,486,392,392,304,384,
215114,Cairn University-Langhorne,238,186,154,147,161,159,139,154,
211431,Carlow University,163,247,241,218,222,203,205,219,
211440,Carnegie Mellon University,1585,1572,1676,1552,1575,1474,1442,1408,
211468,Cedar Crest College,205,207,213,181,179,170,141,145,
211556,Chatham University,315,282,284,194,211,104,92,117,
211583,Chestnut Hill College,215,167,207,241,209,193,190,211,
211024,Clarks Summit University,105,106,104,90,80,97,106,94,
211893,Curtis Institute of Music,22,26,19,18,21,26,29,28,
211981,Delaware Valley University,377,447,418,451,479,489,416,465,
210739,DeSales University,500,517,431,572,429,408,417,389,
212009,Dickinson College,453,635,607,610,731,619,626,602,
212054,Drexel University,3178,3361,3274,2327,2730,2928,3039,3106,
212106,Duquesne University,1302,1512,1562,1556,1435,1343,1547,1526,
212133,Eastern University,357,423,381,442,395,446,450,459,
212197,Elizabethtown College,377,386,411,443,504,447,530,503,
212443,Evangelical Theological Seminary,,,,,,,,,
212577,Franklin and Marshall College,627,611,645,639,592,592,605,599,
212601,Gannon University,734,771,645,631,618,596,622,630,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,314,306,303,292,337,315,338,340,
212674,Gettysburg College,681,748,720,696,699,720,703,769,
212771,Gratz College,,,,,,,,,
212805,Grove City College,490,608,636,583,547,637,648,670,
212832,Gwynedd Mercy University,240,276,266,225,240,205,211,250,
446640,Harrisburg University of Science and Technology,223,188,201,135,117,104,108,134,
