UnitID,Institution Name,Full-time adjusted fall 2018 cohort (EF2019D),Full-time adjusted fall 2017 cohort (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,575,464,596,493,540,655,410,519,
210669,Allegheny College,469,481,551,489,472,600,584,559,
210775,Alvernia University,434,371,345,401,376,389,411,376,
210809,American College of Financial Services,,,,,,,,,
211088,Arcadia University,472,565,600,598,673,597,678,510,
210492,Bryn Athyn College of the New Church,66,96,72,84,85,80,54,81,
211273,Bryn Mawr College,390,354,407,385,351,365,365,361,
211291,Bucknell University,973,973,950,938,939,933,915,916,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
211352,Cabrini University,441,492,481,392,392,303,382,322,
215114,Cairn University-Langhorne,167,140,144,159,159,137,139,114,
211431,Carlow University,247,241,216,219,197,203,210,220,
211440,Carnegie Mellon University,1567,1667,1537,1564,1468,1439,1401,1431,
211468,Cedar Crest College,207,213,181,179,170,140,145,117,
211556,Chatham University,280,284,194,210,102,92,117,130,
211583,Chestnut Hill College,164,206,238,206,186,190,210,239,
211024,Clarks Summit University,73,80,80,73,78,85,77,126,
211893,Curtis Institute of Music,15,9,10,20,26,29,28,23,
211981,Delaware Valley University,443,411,451,471,489,416,464,424,
210739,DeSales University,500,421,500,429,406,417,389,445,
212009,Dickinson College,633,603,610,729,619,626,601,652,
212054,Drexel University,3353,3268,2322,2717,2920,3009,3016,3036,
212106,Duquesne University,1370,1415,1373,1258,1162,1353,1307,1161,
212133,Eastern University,329,305,343,314,330,360,366,395,
212197,Elizabethtown College,386,410,442,504,447,530,502,511,
212443,Evangelical Theological Seminary,,,,,,,,,
212577,Franklin and Marshall College,611,644,639,592,591,604,599,597,
212601,Gannon University,746,614,607,591,573,589,594,640,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,302,300,289,329,311,334,339,312,
212674,Gettysburg College,748,720,696,699,720,703,769,732,
212771,Gratz College,,,,0,,,,,
212805,Grove City College,607,635,583,545,637,645,669,617,
212832,Gwynedd Mercy University,193,173,124,146,142,73,90,83,
446640,Harrisburg University of Science and Technology,186,199,133,117,101,107,133,90,
212911,Haverford College,357,349,349,346,338,330,323,334,
212984,Holy Family University,353,356,328,341,250,288,308,288,
213011,Immaculata University,183,197,216,188,219,287,244,245,
448691,International Institute for Restorative Practices,,,,,,,,,
213251,Juniata College,350,341,394,356,423,391,402,363,
213303,Keystone College,300,289,250,214,220,218,256,236,
213321,King's College,551,624,570,517,484,500,513,550,
213358,La Roche University,225,221,258,291,223,229,242,257,
213367,La Salle University,1040,931,790,707,866,876,857,902,
213376,Lackawanna College,6,5,0,346,374,337,337,397,
213385,Lafayette College,733,679,649,671,648,635,629,637,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
213400,Lancaster Bible College,171,151,164,174,160,121,134,121,
213446,Lancaster Theological Seminary,,,,,,,,,
213507,Lebanon Valley College,472,464,424,455,412,413,404,467,
213543,Lehigh University,1275,1234,1249,1261,1298,1198,1217,1207,
213668,Lycoming College,322,282,343,347,394,347,321,416,
213774,Manor College,31,172,104,141,157,159,204,201,
213826,Marywood University,388,446,323,369,368,404,454,456,
213987,Mercyhurst University,641,586,708,587,609,594,666,673,
213996,Messiah University,647,665,685,691,696,648,708,694,
214069,Misericordia University,410,435,423,434,438,428,511,368,
211130,Missio Theological Seminary,,,,,,,,,
214148,Moore College of Art and Design,98,88,71,96,80,74,104,92,
214157,Moravian College,445,477,482,520,386,355,378,375,
214166,Mount Aloysius College,130,128,138,167,170,182,188,199,
214175,Muhlenberg College,548,564,593,582,589,579,581,584,
214272,Neumann University,421,360,375,400,415,500,574,571,
214883,Peirce College,2,0,1,2,2,2,8,1,
214971,Pennsylvania Academy of the Fine Arts,33,37,38,37,21,14,9,21,
215053,Pennsylvania College of Art and Design,54,71,75,69,59,51,62,61,
442356,Pennsylvania College of Health Sciences,13,20,11,0,1,1,1,0,
215123,Philadelphia College of Osteopathic Medicine,,,,,,,,,
215415,Pittsburgh Technical College,26,20,51,690,839,719,686,746,
215424,Pittsburgh Theological Seminary,,,,,,,,,
215442,Point Park University,603,633,605,588,629,539,516,486,
215619,Reconstructionist Rabbinical College,,,,,,,,,
215628,Reformed Presbyterian Theological Seminary,,,,,0,0,0,,
215655,Robert Morris University,814,868,880,865,858,988,848,782,
215691,Rosemont College,91,142,157,134,126,112,75,107,
216047,Saint Charles Borromeo Seminary-Overbrook,12,8,17,16,12,10,6,9,
215743,Saint Francis University,337,347,348,399,390,398,400,417,
215770,Saint Joseph's University,1127,1074,1262,1172,1341,1269,1229,1133,
215798,Saint Vincent College,417,456,390,444,449,472,339,409,
215813,Saint Vincent Seminary,,,,,,,,,
214564,Salus University,,,,,,,,,
215947,Seton Hill University,380,424,363,389,333,380,337,355,
216278,Susquehanna University,619,633,636,666,573,588,631,598,
216287,Swarthmore College,414,392,414,407,407,388,378,386,
216311,Talmudical Yeshiva of Philadelphia,36,38,37,36,36,38,34,38,
215105,The University of the Arts,425,409,413,404,373,457,408,424,
216348,Theological Seminary of the Reformed Episcopal Church,,,,,,,,,
216357,Thiel College,236,186,207,207,280,303,298,371,
216366,Thomas Jefferson University,561,481,,,,,,,
216463,Trinity Episcopal School for Ministry,,,,,,,,,
213631,United Lutheran Seminary,,,,,,,,,
215062,University of Pennsylvania,2453,2407,2423,2370,2342,2348,2383,2393,
215929,University of Scranton,940,902,1002,908,1062,878,961,1046,
215132,University of the Sciences,321,352,314,323,360,440,483,483,
216542,University of Valley Forge,100,97,151,118,113,134,163,181,
216524,Ursinus College,378,402,382,429,497,425,456,427,
216597,Villanova University,1684,1713,1676,1699,1668,1659,1640,1644,
216667,Washington & Jefferson College,351,339,429,389,399,326,376,387,
216694,Waynesburg University,325,395,398,355,334,407,351,395,
216807,Westminster College,348,332,371,299,278,300,316,360,
216816,Westminster Theological Seminary,,,,,,,,,
216852,Widener University,768,770,728,846,733,827,710,755,
216931,Wilkes University,631,580,659,581,557,584,589,539,
