UnitID,Institution Name,Full time total (EF2019  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,370,575,464,596,493,540,655,410,
210669,Allegheny College,496,470,481,551,489,473,601,584,
210775,Alvernia University,399,434,371,345,401,376,389,411,
210809,American College of Financial Services,,,,,,,,,
211088,Arcadia University,529,472,565,600,598,673,597,678,
210492,Bryn Athyn College of the New Church,79,64,97,70,90,85,80,54,
211273,Bryn Mawr College,374,391,354,407,385,351,365,365,
211291,Bucknell University,964,974,973,950,938,939,933,915,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
211352,Cabrini University,364,440,492,481,392,392,304,384,
215114,Cairn University-Langhorne,234,186,154,144,159,159,137,151,
211431,Carlow University,162,247,241,217,219,198,203,210,
211440,Carnegie Mellon University,1585,1572,1676,1552,1575,1474,1442,1408,
211468,Cedar Crest College,205,207,213,181,179,170,140,145,
211556,Chatham University,314,280,284,194,210,102,92,117,
211583,Chestnut Hill College,210,164,206,238,206,186,190,210,
211024,Clarks Summit University,61,73,80,80,73,88,99,89,
211893,Curtis Institute of Music,22,26,19,18,21,26,29,28,
211981,Delaware Valley University,377,447,418,451,471,489,416,465,
210739,DeSales University,479,500,421,500,429,406,417,389,
212009,Dickinson College,453,635,606,610,731,619,626,601,
212054,Drexel University,3161,3353,3268,2324,2720,2925,3022,3027,
212106,Duquesne University,1300,1507,1558,1546,1418,1332,1537,1521,
212133,Eastern University,329,400,361,424,374,410,433,442,
212197,Elizabethtown College,370,386,410,442,504,447,530,503,
212443,Evangelical Theological Seminary,,,,,,,,,
212577,Franklin and Marshall College,627,611,645,639,592,591,604,599,
212601,Gannon University,719,762,637,626,614,594,611,618,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,310,305,301,289,332,312,334,339,
212674,Gettysburg College,681,748,720,696,699,720,703,769,
212771,Gratz College,,,,,,,,,
212805,Grove City College,490,608,636,583,547,637,648,670,
212832,Gwynedd Mercy University,239,276,265,223,238,205,211,250,
446640,Harrisburg University of Science and Technology,221,186,199,133,117,101,107,133,
