UnitID,Institution Name,Hospital services-Total amount (F1819_F2),Hospital services-Total amount (F1718_F2_RV),Hospital services-Total amount (F1617_F2_RV),Hospital services-Total amount (F1516_F2_RV),Hospital services-Total amount (F1415_F2_RV),Hospital services-Total amount (F1314_F2_RV),Hospital services-Total amount (F1213_F2_RV),Hospital services-Total amount (F1112_F2_RV),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,0,0,0,0,0,0,0,0,
210669,Allegheny College,0,0,0,0,0,0,0,0,
210775,Alvernia University,0,0,0,0,0,0,0,0,
210809,American College of Financial Services,0,0,0,0,0,0,0,0,
211088,Arcadia University,0,0,0,0,0,0,0,0,
210492,Bryn Athyn College of the New Church,0,0,0,0,0,0,0,0,
211273,Bryn Mawr College,0,0,0,0,0,0,0,0,
211291,Bucknell University,0,0,0,0,0,0,0,0,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,0,0,0,0,0,0,0,0,
211352,Cabrini University,0,0,0,0,0,0,0,0,
215114,Cairn University-Langhorne,0,0,0,0,0,0,0,0,
211431,Carlow University,0,0,0,0,0,0,0,0,
211440,Carnegie Mellon University,0,0,0,0,0,0,0,0,
211468,Cedar Crest College,0,0,0,0,0,0,0,0,
211556,Chatham University,0,0,0,0,0,0,0,0,
211583,Chestnut Hill College,0,0,0,0,0,0,0,0,
211024,Clarks Summit University,0,0,0,0,0,0,0,0,
211893,Curtis Institute of Music,0,0,0,0,0,0,0,0,
211981,Delaware Valley University,0,0,0,0,0,0,0,0,
210739,DeSales University,0,0,0,0,0,0,0,0,
212009,Dickinson College,0,0,0,0,0,0,0,0,
212054,Drexel University,0,0,0,0,0,0,0,0,
212106,Duquesne University,0,0,0,0,0,0,0,0,
212133,Eastern University,0,0,0,0,0,0,0,0,
212197,Elizabethtown College,0,0,0,0,0,0,0,0,
212443,Evangelical Theological Seminary,0,0,0,0,0,0,0,0,
212577,Franklin and Marshall College,0,0,0,0,0,0,0,0,
212601,Gannon University,0,0,0,0,0,0,0,0,
456542,Geisinger Commonwealth School of Medicine,0,0,0,0,0,0,0,0,
212656,Geneva College,0,0,0,0,0,0,0,0,
212674,Gettysburg College,0,0,0,0,0,0,0,0,
